KODE;NAVN_NORSK;NAVN_ENGELSK;NAVN_LATINSK
"SWO";"Sverdfisk";"Swordfish";"Xiphias gladius"
"SWQ";"Fagerving";"Red delesseria";"Delesseria sanguinea"
"SWR";"Andre r�dalger";"Red seaweed";"Rhodophyceae"
"SXX";"Annen sel";"Seals and sea lions nei";"Otariidae, Phocidae"
"SYC";"Sm�flekket r�dhai";"Small-spotted catshark";"Scyliorhinus canicula"
"SYR";"Kortpigget h�";"Knifetooth dogfish";"Scymnodon ringens"
"TAS";"H�yfinnet havbrasme";"Rough pomfret";"Taractes asper"
"TBR";"Bergnebb";"Gold-sinny wrasse";"Ctenolabrus rupestris"
"TGM";"Nordlig knurrulke";"Moustache sculpin";"Triplops murrayi"
"TIC";"Chionodraco hamatus*";"Chionodraco hamatus*";"Chionodraco hamatus"
"TIF";"Chionodraco hamatus*";"Chionodraco hamatus*";"Chionodraco hamatus"
"TJX";"Atlantic thornyhead(Spiny scorpionfish)*";"Atlantic thornyhead(Spiny scorpionfish)";"Trachyscorpia cristulata echinata"
"TLA";"Arctic grayling *";"Arctic grayling";"Thymallus arcticus"
"TLN";"Nilmunnruger";"Nile tilapia";"Oreochromis niloticus"
"TLV";"Harr (ferskvann)";"European grayling";"Thymallus thymallus"
